   locktype    | database | relation | page | tuple | virtualxid | transactionid | classid | objid | objsubid | virtualtransaction |  pid  |      mode       | granted | fastpath 
 relation      |    16416 |    17306 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16730 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |     3164 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16647 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16691 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16740 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16874 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16635 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    17337 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    17083 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |     3456 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    17068 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    17355 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16525 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16539 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    17350 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16601 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16725 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    12570 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16726 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16660 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    17071 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    17066 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16599 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16693 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    17081 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16529 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |        0 |     2671 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16758 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    17353 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16709 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16759 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16569 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16962 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16574 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16949 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16674 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16861 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    17276 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    17368 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    17327 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16963 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |     2658 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    17084 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16571 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16664 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16650 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |     3455 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16871 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    17395 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16559 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16554 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |     2656 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16584 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16676 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16756 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16680 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |     1249 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16503 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16742 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16586 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    17056 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    17317 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16541 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    17352 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |     2657 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |     2604 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |     1259 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16724 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
 relation      |    16416 |    16707 |      |       |            |               |         |       |          | 4/296089           | 10112 | AccessShareLock | t       | f
(126 行)

